Nome,Sobrenome,Data de Nascimento,Idade,Gênero,Curso,Tipo de Logradouro,Logradouro,Número,Cidade,RA,Nota Final,Valor Mensalidade
Ana,Pereira,30/12/1987,36,Feminino,Ciência de Dados e Inteligência Artificial,Rua,Trevo da Cunha,30,Sorocaba,31727393,0,3500
Felipe,Rios,21/02/1972,52,Masculino,Publicidade e Propaganda,Rua,Travessa de Silva,61,Ribeirão Preto,89606581,6,3700
Mateus,Monteiro,04/05/1979,45,Masculino,Análise e Desenvolvimento de Sistemas,Alameda,Aeroporto Caleb Macedo,854,Ribeirão Preto,45561169,4,2800
Gabriel,Casa Grande,30/10/1999,24,Masculino,Administração,Alameda,Sítio Daniel Oliveira,68,Ribeirão Preto,06336201,7,2300
Carlos,Pastor,20/07/1995,29,Masculino,Ciência de Dados e Inteligência Artificial,Rua,Parque Vinícius Sampaio,99,Santo André,69851216,1,2500
Pedro,Pinto,05/08/1979,45,Masculino,Ciência da Computação,Alameda,Vereda de Ribeiro,42,São Bernardo do Campo,41887235,2,3100
Juliana,Garcia,18/05/1977,47,Feminino,Secretariado,Alameda,Passarela Sophie Melo,78,Sorocaba,85274325,6,3100
Juliana,Guerra,01/05/1980,44,Feminino,Administração,Alameda,Lago Albuquerque,8,Guarulhos,01889015,5,2400
Ana,Alves,04/07/1974,50,Feminino,Ciência de Dados e Inteligência Artificial,Avenida,Jardim de Lima,3,Campinas,96730545,2,2100
Mateus,Sampaio,22/04/1996,28,Masculino,Ciência da Computação,Alameda,Recanto de Gomes,62,São Bernardo do Campo,09067029,0,3800
João,da Mata,24/07/1977,47,Masculino,Análise e Desenvolvimento de Sistemas,Alameda,Recanto Silveira,97,São Paulo,14510476,4,3400
João,Aparecida,23/06/1989,35,Masculino,Ciências Econômicas,Avenida,Avenida de Macedo,53,Guarulhos,79862902,6,2100
Vanessa,Cirino,17/04/2000,24,Feminino,Ciência da Computação,Rua,Lago Moura,2,São José dos Campos,62844298,3,2700
Fernanda,Guerra,07/05/1994,30,Feminino,Secretariado,Viela,Vila Henry Gabriel Souza,9,Campinas,67904940,3,3600
Fernanda,Nunes,13/10/1973,50,Feminino,Ciência de Dados e Inteligência Artificial,Viela,Morro de Ferreira,12,São Paulo,97994601,1,3000
Felipe,Pastor,22/04/1969,55,Masculino,Ciência da Computação,Alameda,Trecho de Oliveira,71,Ribeirão Preto,02461477,7,2200
Felipe,Ramos,30/04/1968,56,Masculino,Ciência da Computação,Rua,Praça Campos,283,Ribeirão Preto,34402612,10,2100
Pedro,da Rosa,11/02/2001,23,Masculino,Análise e Desenvolvimento de Sistemas,Rua,Trecho Vieira,45,São Paulo,70114886,4,2300
Juliana,Marques,12/02/1977,47,Feminino,Publicidade e Propaganda,Viela,Recanto Fonseca,475,São Bernardo do Campo,59109795,5,3500
Maria,Vargas,06/11/1974,49,Feminino,Ciência da Computação,Estrada,Alameda de Barbosa,361,Santo André,61804072,6,3400
Fernanda,da Costa,14/07/1990,34,Feminino,Análise e Desenvolvimento de Sistemas,Rua,Praia Juan Martins,4,Sorocaba,72217735,9,2400
Fernanda,Dias,06/09/2002,21,Feminino,Relações Internacionais,Alameda,Viaduto de Moreira,99,Campinas,43332434,1,2800
Beatriz,Azevedo,21/07/2006,18,Feminino,Ciências Contábeis,Viela,Quadra de Camargo,49,Mauá,38846871,9,2800
Claudia,Brito,19/07/1983,41,Feminino,Relações Públicas,Viela,Viaduto Mendonça,40,Campinas,91655074,7,3400
José,Caldeira,07/02/1966,58,Masculino,Publicidade e Propaganda,Viela,Esplanada de Moreira,13,Mauá,04838401,7,3400
Carlos,Camargo,07/09/1966,57,Masculino,Administração,Avenida,Sítio Bento Carvalho,93,São Paulo,37674653,3,2400
Mateus,Ramos,05/12/1974,49,Masculino,Ciências Contábeis,Rua,Lago Bruno Caldeira,537,São Paulo,64123722,3,2700
Daniel,Nogueira,04/04/2001,23,Masculino,Ciências Contábeis,Rua,Fazenda Ana Beatriz da Paz,9,Ribeirão Preto,96006665,9,2500
Maria,Fernandes,20/11/1987,36,Feminino,Ciência de Dados e Inteligência Artificial,Estrada,Feira Maria Liz Vasconcelos,263,Ribeirão Preto,60134077,4,3000
Camila,da Costa,15/12/1980,43,Feminino,Ciência da Computação,Alameda,Loteamento de Cavalcante,65,São Bernardo do Campo,62065322,7,3400
João,Fernandes,25/04/1975,49,Masculino,Análise e Desenvolvimento de Sistemas,Alameda,Sítio Vicente Fernandes,2,Ribeirão Preto,36703485,4,2900
João,Alves,05/01/1967,57,Masculino,Publicidade e Propaganda,Rua,Aeroporto Azevedo,47,São José dos Campos,31835577,5,3600
João,Montenegro,28/08/1991,32,Masculino,Ciência da Computação,Viela,Rua de Oliveira,4,São Paulo,76637233,9,3300
José,Cavalcanti,06/10/1996,27,Masculino,Relações Internacionais,Viela,Conjunto Sofia Rodrigues,30,São Paulo,23730047,2,3100
Beatriz,Abreu,03/12/2005,18,Feminino,Ciências Contábeis,Estrada,Viaduto Vargas,3,Osasco,89235521,4,4000
José,Dias,15/07/1972,52,Masculino,Administração,Rua,Jardim de Rocha,47,São Paulo,30336122,9,2700
Luciana,Borges,08/09/1972,51,Feminino,Relações Internacionais,Viela,Feira Vinicius Gomes,19,Guarulhos,74456815,10,2900
Daniel,Casa Grande,31/08/1967,56,Masculino,Ciência da Computação,Estrada,Estação Lucas Ferreira,87,São José dos Campos,14323779,8,3400
Daniel,Pires,08/04/1971,53,Masculino,Ciência de Dados e Inteligência Artificial,Estrada,Ladeira Cirino,15,São José dos Campos,83788616,6,2900
Pedro,da Rocha,24/06/1967,57,Masculino,Relações Públicas,Rua,Praia Leão,87,Mauá,64489916,9,3100
Gabriel,da Paz,03/08/1996,28,Masculino,Ciência de Dados e Inteligência Artificial,Rua,Vila de Nunes,4,Ribeirão Preto,68263993,6,2400
Juliana,Sales,22/07/1973,51,Feminino,Publicidade e Propaganda,Estrada,Ladeira Farias,85,São Bernardo do Campo,76006219,2,3900
Rafael,Costela,18/07/1973,51,Masculino,Análise e Desenvolvimento de Sistemas,Avenida,Trecho Campos,704,Mauá,09143610,4,3000
Beatriz,Camargo,25/02/1977,47,Feminino,Relações Públicas,Viela,Núcleo de Vieira,893,Ribeirão Preto,27792038,1,3400
Mateus,Sampaio,08/11/1973,50,Masculino,Administração,Rua,Estrada Ribeiro,788,Ribeirão Preto,59511889,3,3000
Juliana,Nunes,27/09/2003,20,Feminino,Ciência de Dados e Inteligência Artificial,Alameda,Travessa da Luz,40,São Bernardo do Campo,24080335,0,3500
Beatriz,Moraes,14/05/2001,23,Feminino,Secretariado,Avenida,Trevo de Oliveira,30,Mauá,26682316,1,2900
Luciana,Nunes,27/12/1993,30,Feminino,Relações Públicas,Alameda,Jardim de Duarte,6,Sorocaba,31184613,5,2100
Beatriz,Nogueira,23/04/2006,18,Feminino,Ciência da Computação,Rua,Colônia de Barros,72,Mauá,33467493,1,3200
Felipe,Rezende,09/08/1969,55,Masculino,Ciência de Dados e Inteligência Artificial,Rua,Trevo de Campos,40,Mauá,45481289,9,2400
Fernanda,Barros,08/08/1967,57,Feminino,Publicidade e Propaganda,Avenida,Feira de Pacheco,94,Campinas,17413412,6,2700
Vanessa,da Cruz,02/01/1970,54,Feminino,Publicidade e Propaganda,Viela,Rua de da Costa,592,Sorocaba,57033797,5,3900
Pedro,Pinto,06/10/1965,58,Masculino,Ciências Contábeis,Alameda,Parque de Moraes,30,Santo André,33569649,2,2000
Beatriz,Cunha,09/12/1972,51,Feminino,Relações Públicas,Avenida,Viaduto de Pires,361,Mauá,81936784,4,2500
Pedro,Borges,04/07/1986,38,Masculino,Secretariado,Viela,Feira de Azevedo,3,Sorocaba,44325661,0,2900
Luciana,Fogaça,08/11/1981,42,Feminino,Ciência da Computação,Avenida,Esplanada Aparecida,32,Santo André,18359093,9,3600
Patrícia,Lima,21/02/1978,46,Feminino,Ciência da Computação,Avenida,Parque de Barbosa,145,Guarulhos,55070404,6,2500
Rafael,Moreira,03/09/1984,39,Masculino,Análise e Desenvolvimento de Sistemas,Avenida,Avenida Thiago Azevedo,36,São Paulo,13717433,5,3500
Beatriz,Mendes,21/09/1985,38,Feminino,Relações Públicas,Alameda,Loteamento de Farias,321,São José dos Campos,91513645,1,3400
Patrícia,Porto,19/08/1973,50,Feminino,Ciência de Dados e Inteligência Artificial,Viela,Lago Pinto,7,Campinas,40166032,5,2600
Maria,Abreu,19/02/1969,55,Feminino,Análise e Desenvolvimento de Sistemas,Viela,Alameda Aurora Correia,559,São José dos Campos,11701066,2,4000
Rafael,Mendonça,10/12/2000,23,Masculino,Análise e Desenvolvimento de Sistemas,Viela,Vale da Rosa,1,Campinas,09253307,4,2500
Claudia,Gomes,26/07/1965,59,Feminino,Relações Internacionais,Viela,Fazenda de da Conceição,15,Ribeirão Preto,82693917,4,3000
João,Pereira,06/03/1996,28,Masculino,Administração,Alameda,Lago de Pastor,867,São Paulo,48676984,8,2100
Mateus,Aparecida,20/02/1974,50,Masculino,Relações Públicas,Estrada,Via Sarah Peixoto,486,São Paulo,25939595,7,2300
Camila,Campos,19/02/2006,18,Feminino,Relações Públicas,Avenida,Sítio de Câmara,19,Osasco,69931036,8,2500
Pedro,Oliveira,17/09/1978,45,Masculino,Relações Públicas,Viela,Lagoa de Silva,26,Santo André,88125505,10,2300
Mateus,Nascimento,21/04/1966,58,Masculino,Secretariado,Viela,Distrito Abreu,16,Mauá,44342860,8,2800
José,Dias,01/08/1963,61,Masculino,Relações Internacionais,Estrada,Parque Calebe Ribeiro,10,Guarulhos,02035073,10,3000
Felipe,Andrade,30/01/1974,50,Masculino,Ciências Econômicas,Rua,Aeroporto Costela,15,São Bernardo do Campo,41661295,8,3100
Claudia,Castro,18/08/1964,59,Feminino,Relações Internacionais,Rua,Loteamento Maria Júlia Nascimento,3,Mauá,16532730,3,2300
Juliana,Mendonça,15/03/1970,54,Feminino,Ciências Econômicas,Estrada,Viela Ravy Costela,8,São José dos Campos,66724735,1,2400
Daniel,da Paz,06/11/1983,40,Masculino,Publicidade e Propaganda,Alameda,Lago Enzo da Costa,956,Santo André,59337165,6,2400
Pedro,Câmara,06/07/1964,60,Masculino,Secretariado,Avenida,Viaduto de Mendonça,831,São José dos Campos,54231200,10,3600
Lucas,Araújo,14/07/1990,34,Masculino,Ciências Econômicas,Alameda,Lago Dias,5,São Paulo,92706162,6,3500
Carlos,Correia,03/06/2003,21,Masculino,Administração,Estrada,Vila Melina Guerra,532,Ribeirão Preto,81933550,10,2100
Vanessa,Martins,25/11/1976,47,Feminino,Ciência de Dados e Inteligência Artificial,Viela,Pátio de Caldeira,6,Santo André,88572814,3,4000
Carlos,Novais,09/03/2000,24,Masculino,Relações Internacionais,Estrada,Vereda Barros,70,Mauá,95103178,2,3800
Claudia,da Cruz,10/02/2000,24,Feminino,Ciência de Dados e Inteligência Artificial,Estrada,Pátio de Souza,97,São Bernardo do Campo,28696402,6,3300
Claudia,da Cruz,17/05/1964,60,Feminino,Ciências Contábeis,Rua,Largo Bernardo da Rocha,28,Osasco,35718327,7,2400
Patrícia,Pinto,19/02/1981,43,Feminino,Ciência da Computação,Alameda,Aeroporto de Nascimento,154,São José dos Campos,06997096,6,2500
João,da Rosa,26/10/2002,21,Masculino,Ciência de Dados e Inteligência Artificial,Avenida,Via de Azevedo,57,Osasco,20139934,0,3400
Luciana,Melo,04/05/2004,20,Feminino,Ciências Contábeis,Alameda,Praça Otto Vieira,54,São Bernardo do Campo,38012239,8,3400
Mateus,Souza,24/03/1989,35,Masculino,Ciência da Computação,Viela,Aeroporto Ísis Camargo,183,Sorocaba,46906362,5,3000
Maria,Cunha,26/12/1977,46,Feminino,Secretariado,Estrada,Travessa Barros,2,São Paulo,62879072,0,3400
Maria,Sá,26/11/2003,20,Feminino,Relações Públicas,Viela,Conjunto Ísis Carvalho,70,Osasco,62963473,4,3300
Camila,Lopes,02/09/2001,22,Feminino,Ciências Econômicas,Viela,Chácara Rodrigues,12,Santo André,96406267,3,2500
Mateus,da Mota,01/12/1991,32,Masculino,Administração,Viela,Vale da Mata,30,Guarulhos,39272670,5,2700
Lucas,Cassiano,23/03/1970,54,Masculino,Relações Públicas,Rua,Fazenda Enrico Pacheco,87,Guarulhos,25370751,0,3300
Claudia,Dias,11/12/1973,50,Feminino,Publicidade e Propaganda,Rua,Favela de Barbosa,40,Sorocaba,90398926,3,2800
Ana,Monteiro,24/01/2003,21,Feminino,Ciências Econômicas,Viela,Largo de Azevedo,64,Sorocaba,35708889,0,2600
João,Moreira,15/04/1985,39,Masculino,Ciência de Dados e Inteligência Artificial,Avenida,Conjunto de Azevedo,5,Guarulhos,08630152,4,3600
Luciana,Camargo,14/01/1994,30,Feminino,Secretariado,Estrada,Avenida Souza,98,São Bernardo do Campo,85178644,9,2300
Pedro,Martins,08/04/2001,23,Masculino,Análise e Desenvolvimento de Sistemas,Avenida,Vale de Rocha,547,Guarulhos,56844674,4,3300
Pedro,Cassiano,06/08/1968,56,Masculino,Ciências Econômicas,Viela,Rua Moraes,49,Santo André,57331432,6,2000
Daniel,Pacheco,13/08/1986,37,Masculino,Ciências Econômicas,Viela,Loteamento Vasconcelos,4,Sorocaba,56414453,3,2000
Vanessa,Andrade,06/04/1980,44,Feminino,Ciência da Computação,Rua,Lago Fernandes,97,Sorocaba,14795484,8,3700
Felipe,da Conceição,16/11/1983,40,Masculino,Ciência de Dados e Inteligência Artificial,Alameda,Via Leandro Cardoso,48,São José dos Campos,73474109,9,3700
João,Albuquerque,14/06/1995,29,Masculino,Relações Públicas,Rua,Travessa de da Mota,97,São José dos Campos,72474189,3,2900
Gabriel,Moura,18/09/1982,41,Masculino,Ciências Econômicas,Estrada,Vereda de Albuquerque,45,São José dos Campos,41302860,5,2500
João,Barros,27/03/1988,36,Masculino,Ciência de Dados e Inteligência Artificial,Alameda,Largo Araújo,16,Sorocaba,53281410,8,2800
Gabriel,da Mota,16/05/2004,20,Masculino,Secretariado,Rua,Colônia Peixoto,1,Osasco,24210433,10,2800
Mateus,Vargas,15/08/2005,18,Masculino,Relações Internacionais,Alameda,Núcleo Rebeca Albuquerque,36,São José dos Campos,20811252,7,3300
Carlos,Cavalcante,21/01/1982,42,Masculino,Análise e Desenvolvimento de Sistemas,Viela,Vereda de Nascimento,26,Ribeirão Preto,65050896,5,2300
Carlos,Cardoso,13/06/1997,27,Masculino,Administração,Avenida,Colônia Sophia Teixeira,558,Ribeirão Preto,71204606,9,2000
Carlos,da Rocha,14/09/1996,27,Masculino,Relações Públicas,Viela,Feira Caroline Pastor,48,Guarulhos,80421803,9,3300
Beatriz,Vasconcelos,29/06/1986,38,Feminino,Ciências Econômicas,Alameda,Largo de Santos,9,Ribeirão Preto,19589855,10,3400
Claudia,Sá,03/04/1991,33,Feminino,Ciências Econômicas,Estrada,Passarela Théo Pimenta,137,Osasco,35897389,0,3000
Juliana,Ribeiro,29/04/1967,57,Feminino,Ciência de Dados e Inteligência Artificial,Rua,Loteamento de Moura,902,Campinas,62988628,6,3400
Pedro,Vargas,14/09/1971,52,Masculino,Secretariado,Rua,Viela Davi Miguel Pereira,29,São José dos Campos,02193795,9,3900
João,da Cunha,13/06/1999,25,Masculino,Secretariado,Alameda,Parque da Rocha,37,Ribeirão Preto,69187344,4,3100
Ana,Brito,23/02/1990,34,Feminino,Ciências Econômicas,Alameda,Conjunto de Duarte,394,Santo André,97945566,4,3900
Fernanda,Lopes,03/04/1992,32,Feminino,Ciências Contábeis,Avenida,Trecho de Souza,1,Campinas,45895676,4,3000
Vanessa,Borges,14/10/1967,56,Feminino,Publicidade e Propaganda,Viela,Largo Maria Vitória Cassiano,16,Osasco,05443291,2,2400
Pedro,Albuquerque,28/10/1996,27,Masculino,Ciências Econômicas,Estrada,Parque Carvalho,752,Ribeirão Preto,56470979,7,2000
Daniel,da Rosa,07/05/1995,29,Masculino,Relações Internacionais,Avenida,Esplanada Caldeira,13,São Bernardo do Campo,79118945,1,2000
Vanessa,Costela,13/09/1989,34,Feminino,Relações Públicas,Estrada,Praça Albuquerque,8,Ribeirão Preto,42958194,5,3700
Luciana,Borges,13/01/1993,31,Feminino,Administração,Rua,Jardim de Fogaça,7,Mauá,06480095,2,3600
José,Aragão,11/04/1968,56,Masculino,Publicidade e Propaganda,Rua,Feira de Silveira,520,São José dos Campos,91862838,3,3300
Felipe,Sá,25/11/1981,42,Masculino,Administração,Rua,Núcleo de Sousa,4,Guarulhos,39454463,3,3100
Carlos,Nunes,09/09/1977,46,Masculino,Administração,Avenida,Viela Felipe Freitas,44,Campinas,10984784,9,2800
Carlos,Ribeiro,25/05/1999,25,Masculino,Administração,Rua,Morro Felipe Dias,15,Guarulhos,19580172,1,2600
Felipe,Moreira,16/07/1988,36,Masculino,Relações Internacionais,Avenida,Alameda de das Neves,10,Mauá,55339590,8,3400
Patrícia,Viana,12/03/1981,43,Feminino,Publicidade e Propaganda,Estrada,Pátio Juliana Vargas,94,Santo André,04972017,1,3700
Maria,Garcia,11/12/1994,29,Feminino,Ciências Contábeis,Rua,Colônia de Barros,30,Sorocaba,77256431,9,3700
Daniel,Pires,11/10/1964,59,Masculino,Relações Públicas,Avenida,Conjunto Borges,26,Guarulhos,21147604,8,3700
Daniel,das Neves,26/11/1996,27,Masculino,Ciência da Computação,Avenida,Colônia de Rocha,73,Guarulhos,07511433,1,3600
Beatriz,Sá,11/12/1976,47,Feminino,Relações Internacionais,Avenida,Distrito Luiza Casa Grande,73,São Bernardo do Campo,93092734,1,3100
Maria,Pires,20/01/1972,52,Feminino,Relações Públicas,Avenida,Lagoa Melissa da Conceição,3,São Bernardo do Campo,74122330,8,2500
Maria,Sales,17/08/1979,44,Feminino,Ciência da Computação,Estrada,Trevo Sales,52,Santo André,64580902,10,3400
Vanessa,Brito,13/06/1986,38,Feminino,Relações Públicas,Avenida,Área Maria Vitória Novais,5,Guarulhos,95576353,9,2300
Juliana,Souza,25/04/1984,40,Feminino,Relações Internacionais,Avenida,Rodovia de Costela,37,Campinas,08208237,2,3000
Pedro,Rezende,31/07/1975,49,Masculino,Ciências Contábeis,Estrada,Esplanada de Fonseca,31,São Paulo,81648347,5,2200
Ana,Jesus,04/07/2001,23,Feminino,Publicidade e Propaganda,Avenida,Núcleo Almeida,4,São Paulo,23213247,0,3600
Felipe,Almeida,27/10/1972,51,Masculino,Ciências Contábeis,Rua,Fazenda Rios,46,Sorocaba,97588895,6,4000
Camila,Macedo,22/07/1974,50,Feminino,Ciências Econômicas,Alameda,Trevo de Gonçalves,86,Sorocaba,71216471,7,3700
Luciana,Cardoso,28/06/1964,60,Feminino,Ciências Econômicas,Avenida,Rodovia de Abreu,98,Sorocaba,09676349,9,3900
Pedro,Novaes,20/11/1981,42,Masculino,Ciência de Dados e Inteligência Artificial,Viela,Sítio Sousa,82,São Paulo,50674821,4,2400
Claudia,Mendes,06/10/1979,44,Feminino,Análise e Desenvolvimento de Sistemas,Alameda,Estação de Albuquerque,54,Ribeirão Preto,87620644,5,3700
Carlos,Alves,10/11/2004,19,Masculino,Relações Internacionais,Viela,Viaduto de Siqueira,3,Santo André,64733759,7,3000
Mateus,Teixeira,06/07/1990,34,Masculino,Ciências Contábeis,Alameda,Via de Costela,44,São Bernardo do Campo,29387693,7,3500
Juliana,Rezende,05/07/1993,31,Feminino,Ciência da Computação,Avenida,Pátio Martins,4,Osasco,02525023,6,2300
Patrícia,Leão,23/12/1985,38,Feminino,Secretariado,Estrada,Quadra de Mendes,64,São Bernardo do Campo,53509535,7,3300
Vanessa,Oliveira,02/08/1990,34,Feminino,Relações Internacionais,Viela,Estrada Augusto da Paz,5,Mauá,16657456,8,2700
Beatriz,Ribeiro,04/09/1979,44,Feminino,Administração,Viela,Conjunto de Caldeira,76,Guarulhos,14765324,9,2100
Juliana,Monteiro,28/01/1986,38,Feminino,Secretariado,Avenida,Pátio Maysa Cavalcanti,84,Campinas,07787855,0,4000
Maria,Almeida,13/11/2001,22,Feminino,Ciência da Computação,Avenida,Vale Isabelly Camargo,87,Ribeirão Preto,00881982,0,2000
Maria,Câmara,15/07/1973,51,Feminino,Ciência de Dados e Inteligência Artificial,Avenida,Alameda Matheus Cavalcanti,76,São Paulo,89992172,7,4000
Fernanda,Gomes,15/05/1977,47,Feminino,Relações Públicas,Rua,Jardim de Farias,1,Osasco,85378313,8,3800
Claudia,da Rocha,28/02/2004,20,Feminino,Ciências Econômicas,Estrada,Trecho Maria Liz Borges,844,Ribeirão Preto,97743640,5,3600
Carlos,Moreira,29/09/1968,55,Masculino,Ciência da Computação,Viela,Estação Maria Luísa da Paz,28,Osasco,75021099,10,3900
Vanessa,da Mata,26/09/1974,49,Feminino,Publicidade e Propaganda,Viela,Vila Teixeira,22,São Paulo,27515777,5,2700
Beatriz,Camargo,05/04/1978,46,Feminino,Administração,Avenida,Feira Júlia Guerra,58,Osasco,35164297,10,3600
Daniel,Camargo,09/08/1971,53,Masculino,Ciência de Dados e Inteligência Artificial,Rua,Aeroporto Maria Luiza Azevedo,40,Osasco,70618056,0,3800
Juliana,Cardoso,17/02/1969,55,Feminino,Ciência da Computação,Rua,Vereda Costela,16,São José dos Campos,65791153,7,3300
Fernanda,Costela,15/06/2004,20,Feminino,Ciência de Dados e Inteligência Artificial,Rua,Estrada Cavalcanti,86,Mauá,37631393,10,3900
Felipe,Lopes,10/06/1973,51,Masculino,Análise e Desenvolvimento de Sistemas,Rua,Travessa Henry Gabriel Ramos,31,Campinas,64232083,4,2500
Ana,Leão,15/07/1972,52,Feminino,Ciências Contábeis,Avenida,Setor de Carvalho,3,Santo André,80552375,0,3600
Pedro,Leão,17/10/2003,20,Masculino,Ciência de Dados e Inteligência Artificial,Alameda,Via Esther Fonseca,1,São Bernardo do Campo,51353294,7,2000
Gabriel,Rocha,05/10/1975,48,Masculino,Secretariado,Avenida,Morro José Pedro Cunha,97,Guarulhos,11381990,1,4000
Felipe,Caldeira,02/02/1991,33,Masculino,Ciência de Dados e Inteligência Artificial,Estrada,Conjunto Valentim Pacheco,55,Santo André,42570022,6,2900
Felipe,Guerra,18/01/1977,47,Masculino,Análise e Desenvolvimento de Sistemas,Alameda,Área de Leão,41,Ribeirão Preto,77897053,7,3800
Pedro,Freitas,11/01/1983,41,Masculino,Análise e Desenvolvimento de Sistemas,Viela,Núcleo Cavalcante,26,Osasco,57074033,3,3600
Maria,Duarte,10/06/2002,22,Feminino,Ciência da Computação,Viela,Chácara Lara Pimenta,41,Sorocaba,95462306,3,2200
Rafael,Vieira,18/07/1990,34,Masculino,Ciência de Dados e Inteligência Artificial,Estrada,Núcleo de da Paz,48,Santo André,02101998,9,2000
Beatriz,Albuquerque,17/10/1972,51,Feminino,Ciências Contábeis,Estrada,Favela Pietra Moreira,91,Sorocaba,20655243,8,2500
João,Araújo,07/03/1981,43,Masculino,Secretariado,Viela,Quadra de Machado,10,Sorocaba,15994810,2,2100
Juliana,Brito,11/03/1976,48,Feminino,Secretariado,Rua,Colônia de Jesus,2,Mauá,97444241,6,3800
Patrícia,Aparecida,02/08/1969,55,Feminino,Relações Internacionais,Avenida,Avenida Freitas,55,São José dos Campos,09351934,4,2300
Ana,Pereira,12/09/2004,19,Feminino,Ciência de Dados e Inteligência Artificial,Rua,Passarela da Conceição,33,São José dos Campos,27716278,3,2800
Daniel,Guerra,28/03/1973,51,Masculino,Ciência de Dados e Inteligência Artificial,Rua,Jardim de Gomes,971,São Paulo,55462026,6,2800
Maria,da Luz,23/10/1985,38,Feminino,Secretariado,Alameda,Favela Fernando Nascimento,2,São Paulo,41636266,4,4000
Daniel,Camargo,12/05/1999,25,Masculino,Ciências Contábeis,Avenida,Colônia Melina Monteiro,35,Sorocaba,26305184,7,3700
Patrícia,Caldeira,21/05/1968,56,Feminino,Ciência de Dados e Inteligência Artificial,Alameda,Parque Luiza da Rosa,174,Santo André,79672158,2,2800
Rafael,Fonseca,30/03/1991,33,Masculino,Ciências Econômicas,Viela,Jardim Gael Gonçalves,8,Osasco,32250148,8,3400
João,da Rosa,01/07/1998,26,Masculino,Relações Internacionais,Viela,Viela Stephany Siqueira,89,São José dos Campos,85432511,0,3500
Beatriz,Barbosa,03/09/1977,46,Feminino,Ciências Econômicas,Alameda,Ladeira de Freitas,7,Osasco,77936722,7,2500
Rafael,Novais,29/03/1999,25,Masculino,Ciências Econômicas,Alameda,Trevo Rodrigues,3,Sorocaba,69010465,5,3500
Juliana,da Costa,03/07/1996,28,Feminino,Ciências Contábeis,Alameda,Campo Noah da Mata,62,Santo André,09187810,1,2900
João,Araújo,07/10/1984,39,Masculino,Secretariado,Avenida,Vila Cecília da Rosa,306,Guarulhos,62305979,6,3800
Rafael,Costa,20/02/2005,19,Masculino,Ciência de Dados e Inteligência Artificial,Rua,Largo Azevedo,23,Osasco,91548896,3,3000
Carlos,Araújo,04/10/1970,53,Masculino,Secretariado,Rua,Conjunto de Cardoso,85,São Bernardo do Campo,00280973,6,2300
Beatriz,Cavalcanti,27/02/1989,35,Feminino,Publicidade e Propaganda,Alameda,Morro de Azevedo,58,São Bernardo do Campo,64651158,6,2500
Vanessa,Almeida,22/09/1964,59,Feminino,Ciência de Dados e Inteligência Artificial,Estrada,Favela de Farias,6,Mauá,68894992,8,3200
Ana,Moraes,18/04/1984,40,Feminino,Ciências Econômicas,Rua,Favela Novaes,63,Ribeirão Preto,74538807,0,2300
Fernanda,Jesus,03/02/2001,23,Feminino,Ciências Econômicas,Viela,Lago Macedo,2,Ribeirão Preto,99253415,7,4000
Fernanda,Siqueira,13/03/1999,25,Feminino,Ciências Econômicas,Estrada,Via de Melo,54,Mauá,77359841,4,2900
Beatriz,Farias,16/01/2005,19,Feminino,Ciência da Computação,Avenida,Fazenda Manuella Marques,283,São Bernardo do Campo,24610857,6,3000
João,Martins,20/06/1971,53,Masculino,Ciências Econômicas,Viela,Praia de Fernandes,527,Guarulhos,53903261,3,2300
Claudia,Camargo,09/12/1986,37,Feminino,Administração,Rua,Praça de Montenegro,456,Mauá,58703194,7,3300
Claudia,Rezende,09/03/1985,39,Feminino,Ciência da Computação,Estrada,Via de Oliveira,872,Guarulhos,92868589,4,3400
Gabriel,Costela,21/05/1983,41,Masculino,Relações Públicas,Viela,Pátio de da Cruz,32,Guarulhos,18321294,0,3300
Daniel,Viana,20/12/1994,29,Masculino,Ciências Contábeis,Viela,Vila de Cassiano,73,Santo André,25130270,6,2300
Claudia,Fogaça,09/10/1992,31,Feminino,Secretariado,Avenida,Vereda Mathias Sampaio,31,São Bernardo do Campo,07763419,2,3600
Maria,Leão,27/02/1999,25,Feminino,Ciência da Computação,Rua,Feira Paulo Costela,961,São Bernardo do Campo,41372576,2,2100
Juliana,Vargas,08/05/2005,19,Feminino,Relações Internacionais,Avenida,Viela de Farias,621,Osasco,81477806,5,3000
Claudia,Nunes,02/06/1975,49,Feminino,Análise e Desenvolvimento de Sistemas,Estrada,Via de Cavalcanti,9,Mauá,21488041,8,2300
João,Leão,19/02/1965,59,Masculino,Ciência da Computação,Estrada,Morro Casa Grande,67,São José dos Campos,29969788,5,3800
Vanessa,Gonçalves,03/06/2001,23,Feminino,Secretariado,Estrada,Vila de Cirino,61,Santo André,48478237,3,3000
José,Jesus,17/07/1971,53,Masculino,Relações Internacionais,Estrada,Feira de da Mota,914,São Paulo,11531627,2,2300
Vanessa,Montenegro,10/02/1988,36,Feminino,Ciência de Dados e Inteligência Artificial,Rua,Área de Cassiano,826,Ribeirão Preto,51909683,3,2100
Patrícia,Rocha,09/11/1965,58,Feminino,Relações Públicas,Avenida,Núcleo de Pacheco,86,São Bernardo do Campo,47753494,4,3000
Mateus,Câmara,21/09/1981,42,Masculino,Relações Públicas,Alameda,Pátio Eduardo Melo,28,Ribeirão Preto,76160971,4,3000
